Date,Death,Infected,I_diff,D_diff,,,,,,,,,,,,,,,,,,,,
7/26/2020,32,5576,0,0,33,34,35,36,37,39,41,42,43,44,46,48,50,54,55,56,57,59,,59
7/27/2020,32,5576,0,1,33,34,35,36,37,39,41,42,43,44,46,48,50,54,55,56,57,59,60,60
7/28/2020,32,5633,57,0,33,34,35,36,37,39,41,42,43,44,46,48,50,54,55,56,57,59,60,60
7/29/2020,32,6021,388,0,33,34,35,36,37,39,41,42,43,44,46,48,50,54,55,56,57,59,60,60
7/30/2020,32,6094,73,0,33,34,35,36,37,39,41,42,43,44,46,48,50,54,55,56,57,59,60,60
7/31/2020,60,6167,73,3,36,37,38,39,40,42,44,45,46,47,49,51,53,57,58,59,60,62,63,63
8/1/2020,60,6167,0,0,36,37,38,39,40,42,44,45,46,47,49,51,53,57,58,59,60,62,63,63
8/2/2020,60,6167,0,0,36,37,38,39,40,42,44,45,46,47,49,51,53,57,58,59,60,62,63,63
8/3/2020,60,6167,0,0,36,37,38,39,40,42,44,45,46,47,49,51,53,57,58,59,60,62,63,63
8/4/2020,63,6526,359,3,39,40,41,42,43,45,47,48,49,50,52,54,56,60,61,62,63,65,66,66
8/5/2020,64,6526,0,1,40,41,42,43,44,46,48,49,50,51,53,55,57,61,62,63,64,66,67,67
8/6/2020,68,6652,126,4,44,45,46,47,48,50,52,53,54,55,57,59,61,65,66,67,68,70,71,71
8/7/2020,68,6652,0,0,44,45,46,47,48,50,52,53,54,55,57,59,61,65,66,67,68,70,71,71
8/8/2020,69,6704,52,1,45,46,47,48,49,51,53,54,55,56,58,60,62,66,67,68,69,71,72,72
8/9/2020,69,6704,0,0,45,46,47,48,49,51,53,54,55,56,58,60,62,66,67,68,69,71,72,72
8/10/2020,69,6704,0,0,45,46,47,48,49,51,53,54,55,56,58,60,62,66,67,68,69,71,72,72
8/11/2020,72,6996,292,3,48,49,50,51,52,54,56,57,58,59,61,63,65,69,70,71,72,74,75,75
8/12/2020,73,7074,78,1,49,50,51,52,53,55,57,58,59,60,62,64,66,70,71,72,73,75,76,76
8/13/2020,73,7083,9,0,49,50,51,52,53,55,57,58,59,60,62,64,66,70,71,72,73,75,76,76
8/14/2020,77,7274,191,4,53,54,55,56,57,59,61,62,63,64,66,68,70,74,75,76,77,79,80,80
8/15/2020,77,7274,0,0,53,54,55,56,57,59,61,62,63,64,66,68,70,74,75,76,77,79,80,80
8/16/2020,77,7274,0,0,53,54,55,56,57,59,61,62,63,64,66,68,70,74,75,76,77,79,80,80
8/17/2020,77,7274,0,0,53,54,55,56,57,59,61,62,63,64,66,68,70,74,75,76,77,79,80,80
8/18/2020,80,7454,180,3,56,57,58,59,60,62,64,65,66,67,69,71,73,77,78,79,80,82,83,83
8/19/2020,82,7508,54,2,58,59,60,61,62,64,66,67,68,69,71,73,75,79,80,81,82,84,85,85
8/20/2020,82,7508,0,0,58,59,60,61,62,64,66,67,68,69,71,73,75,79,80,81,82,84,85,85
8/21/2020,84,7578,70,2,60,61,62,63,64,66,68,69,70,71,73,75,77,81,82,83,84,86,87,87
8/22/2020,87,7653,75,3,63,64,65,66,67,69,71,72,73,74,76,78,80,84,85,86,87,89,90,90
8/23/2020,87,7685,32,0,63,64,65,66,67,69,71,72,73,74,76,78,80,84,85,86,87,89,90,90
8/24/2020,87,7725,40,0,63,64,65,66,67,69,71,72,73,74,76,78,80,84,85,86,87,89,90,90
8/25/2020,88,7800,75,1,64,65,66,67,68,70,72,73,74,75,77,79,81,85,86,87,88,90,91,91
,,,,91,,,,,,,,,,,,,,,,,,2,3,
,,,,,,,,,,,,,,,,,,,,,,2,3,
,,,,,,,,,,,,,,,,,,,,,,2,3,
